#,Ticker,MCap
552,ACAD,$2.77 B
553,GH,$2.77 B
554,NCNO,$2.76 B
555,SFNC,$2.76 B
556,GO,$2.75 B
557,PRTA,$2.75 B
558,AXSM,$2.75 B
559,ABCL,$2.74 B
560,BANF,$2.74 B
561,CALM,$2.73 B
562,SHLS,$2.73 B
563,TRIP,$2.72 B
564,WSFS,$2.72 B
565,FWRD,$2.72 B
566,STEP,$2.72 B
567,HMHC,"$2.71 B                                                (April 1, 2022)"
568,MRTX,$2.70 B
569,PACW,$2.70 B
570,PDCO,$2.70 B
571,AFRM,$2.70 B
572,ACLS,$2.70 B
573,MRCY,$2.69 B
574,MEOH,$2.68 B
575,INSM,$2.67 B
576,PGNY,$2.67 B
577,AMED,$2.66 B
578,HELE,$2.66 B
579,IRTC,$2.65 B
580,AUB,$2.65 B
581,AHCO,$2.64 B
582,VSAT,$2.63 B
583,WERN,$2.62 B
584,STAY,"$2.61 B                                                (Feb. 18, 2021)"
585,EPAY,"$2.59 B                                                (May 1, 2022)"
586,DORM,$2.57 B
587,CERT,$2.56 B
588,FOCS,$2.56 B
589,KLIC,$2.55 B
590,IOSP,$2.54 B
591,FRPT,$2.53 B
592,EXTR,$2.53 B
593,DCT,$2.52 B
594,ISEE,$2.52 B
595,VRNS,$2.52 B
596,WOOF,$2.51 B
597,MGEE,$2.51 B
598,SINA,"$2.50 B                                                (Feb. 18, 2021)"
599,HPK,$2.49 B
600,HUBG,$2.49 B
601,ARLP,$2.49 B
602,RRR,$2.48 B
603,WIRE,$2.48 B
604,MGLN,"$2.48 B                                                (Jan. 1, 2022)"
605,FRME,$2.47 B
606,FMBI,"$2.45 B                                                (Feb. 1, 2022)"
607,OTTR,$2.44 B
608,CRVL,$2.43 B
609,SAGE,$2.42 B
610,OZON,$2.42 B
611,VIAV,$2.42 B
612,ALRM,$2.41 B
613,IMVT,$2.40 B
614,SHC,$2.40 B
615,MGRC,$2.40 B
616,SHOO,$2.39 B
617,PRFT,$2.38 B
